,X,Y,ID,ESTACION,LINEA
0,-58.3989275853601,-34.635750180342995,1.0,CASEROS,H
1,-58.400969556016506,-34.6293756575728,2.0,INCLAN,H
2,-58.402322730424004,-34.6230923205019,3.0,HUMBERTO 1°,H
3,-58.404731716490005,-34.6152421522706,4.0,VENEZUELA,H
4,-58.40603638103521,-34.6089352416216,5.0,ONCE - 30 DE DICIEMBRE,H
5,-58.3805743428896,-34.6042452029629,6.0,9 DE JULIO,D
6,-58.397923755573395,-34.5997570807639,7.0,FACULTAD DE MEDICINA,D
7,-58.385142358801296,-34.6015871651394,8.0,TRIBUNALES - TEATRO COLÓN,D
8,-58.40716132018989,-34.5916278437199,9.0,AGÜERO,D
9,-58.4159554190067,-34.5851559440494,10.0,R.SCALABRINI ORTIZ,D
10,-58.4211960101264,-34.581411193604495,11.0,PLAZA ITALIA,D
11,-58.42571144111239,-34.5784220227904,12.0,PALERMO,D
12,-58.3740182164816,-34.5911938083332,13.0,RETIRO,C
13,-58.3781557828244,-34.601769923011396,14.0,LAVALLE,C
14,-58.3795299800739,-34.6048437399141,15.0,DIAGONAL NORTE,C
15,-58.3806107179579,-34.6089833148827,16.0,AV. DE MAYO,C
16,-58.3804444696601,-34.6126172798037,17.0,MORENO,C
17,-58.380173610475204,-34.6181255992933,18.0,INDEPENDENCIA,C
18,-58.381434433934295,-34.6276194522548,19.0,CONSTITUCION,C
19,-58.375071518263596,-34.603297285577504,20.0,FLORIDA,B
20,-58.380714847140894,-34.6036371051817,21.0,C. PELLEGRINI,B
21,-58.387296133540794,-34.6040935531057,22.0,URUGUAY,B
22,-58.3923142350888,-34.604419542860796,23.0,CALLAO,B
23,-58.399474256679,-34.604642967919304,24.0,PASTEUR - AMIA,B
24,-58.4053994398434,-34.6045810553512,25.0,PUEYRREDON,B
25,-58.4117625996321,-34.6040795173475,26.0,CARLOS GARDEL,B
26,-58.4209624702706,-34.6031649010973,27.0,MEDRANO,B
27,-58.4312738603246,-34.602162229342696,28.0,ANGEL GALLARDO,B
28,-58.439771498415496,-34.5989673641588,29.0,MALABIA - OSVALDO PUGLIESE,B
29,-58.4475730925312,-34.5917181536198,30.0,DORREGO,B
30,-58.3742677264305,-34.6085590738533,31.0,PERU,A
31,-58.3790851530909,-34.608881721215,32.0,PIEDRAS,A
32,-58.3822324010182,-34.6090998065519,33.0,LIMA,A
33,-58.386777194087294,-34.6094125865027,34.0,SAENZ PEÑA,A
34,-58.392668824664895,-34.6092256843174,35.0,CONGRESO,A
35,-58.39842699181229,-34.6096459617053,36.0,PASCO,A
36,-58.401207534232995,-34.609833578439805,37.0,ALBERTI,A
37,-58.4067071165088,-34.6098172456706,38.0,PLAZA DE MISERERE,A
38,-58.415185708837605,-34.610781690450395,39.0,LORIA,A
39,-58.4218156713706,-34.6117702291255,40.0,CASTRO BARROS,A
40,-58.429500323299706,-34.6152056103312,41.0,RIO DE JANEIRO,A
41,-58.436428528849405,-34.6182799671446,42.0,ACOYTE,A
42,-58.4411776251109,-34.6204052128589,43.0,PRIMERA JUNTA,A
43,-58.3736842241685,-34.6092424288608,44.0,BOLIVAR,E
44,-58.377580886540606,-34.6128491058186,45.0,BELGRANO,E
45,-58.381534941712296,-34.6179373939772,46.0,INDEPENDENCIA,E
46,-58.38514854962379,-34.6223394919367,47.0,SAN JOSE,E
47,-58.3915116999715,-34.6227196661278,48.0,ENTRE RIOS - RODOLFO WALSH,E
48,-58.3970680746626,-34.6231098657791,49.0,PICHINCHA,E
49,-58.4029365802561,-34.6238657115835,50.0,JUJUY,E
50,-58.409390783443605,-34.6246537864662,51.0,URQUIZA,E
51,-58.433816250239495,-34.6280175487742,52.0,JOSE MARIA MORENO,E
52,-58.4421707059653,-34.6310418421655,53.0,EMILIO MITRE,E
53,-58.411293901393606,-34.5882371084182,54.0,BULNES,D
54,-58.40239534253511,-34.5944257186285,55.0,PUEYRREDON,D
55,-58.3931251809727,-34.599639552419,56.0,CALLAO,D
56,-58.3778190509867,-34.5950574047791,57.0,SAN MARTIN,C
57,-58.3799211788651,-34.6219167322081,58.0,SAN JUAN,C
58,-58.4502782563709,-34.6363891893858,59.0,MEDALLA MILAGROSA,E
59,-58.4267890228972,-34.627015467002,60.0,AV. LA PLATA,E
60,-58.4155328189678,-34.6253661058926,61.0,BOEDO,E
61,-58.4350135337339,-34.5751783641113,62.0,MINISTRO CARRANZA,D
62,-58.44466814833489,-34.5700123078257,63.0,OLLEROS,D
63,-58.45212560338899,-34.5662152421589,64.0,JOSE HERNANDEZ,D
64,-58.456489134589006,-34.5623090869975,65.0,JURAMENTO,D
65,-58.455029286281004,-34.5871978529904,66.0,FEDERICO LACROZE,B
66,-58.461651761689794,-34.6433121624098,67.0,PLAZA DE LOS VIRREYES - EVA PERON,E
67,-58.457891755773105,-34.640137352298005,68.0,VARELA,E
68,-58.3739558069511,-34.6078023364289,69.0,CATEDRAL,D
69,-58.3709684989674,-34.608810309168895,70.0,PLAZA DE MAYO,A
70,-58.462378408224296,-34.5556417664261,71.0,CONGRESO DE TUCUMAN,D
71,-58.3699298501225,-34.6029894966332,72.0,LEANDRO N. ALEM,B
72,-58.4662272046922,-34.5840946201161,73.0,TRONADOR - VILLA ORTÚZAR,B
73,-58.4742408261771,-34.5812488459579,74.0,DE LOS INCAS -PQUE. CHAS,B
74,-58.45670979752379,-34.626666593180296,75.0,CARABOBO,A
75,-58.448647654026395,-34.6235289528894,76.0,PUAN,A
76,-58.4054503284842,-34.6044902016081,77.0,CORRIENTES,H
77,-58.4057948259686,-34.6384059882851,78.0,PARQUE PATRICIOS,H
78,-58.4123851512005,-34.6412689433909,79.0,HOSPITALES,H
79,-58.4810135036721,-34.5777973775423,80.0,ECHEVERRÍA,B
80,-58.4863853478891,-34.574318914274805,81.0,JUAN MANUEL DE ROSAS - VILLA URQUIZA,B
81,-58.4696396292247,-34.630707087006,83.0,SAN PEDRITO,A
82,-58.4635405106287,-34.629087226797,82.0,SAN JOSÉ DE FLORES,A
83,-58.403721496438706,-34.5984551117734,84.0,CÓRDOBA,H
84,-58.3972155751019,-34.5874615464262,85.0,LAS HERAS,H
85,-58.402376175035,-34.5945253962188,86.0,SANTA FE - CARLOS JAUREGUI,H
